ticker,name,volume,trading_value,change_pct,score_trading,news_count,score_news,sector,theme_rank,score_theme,score_valuation,score_total,grade
010820,퍼스텍,19337531,121533903890,26.08,3.006013117343111,0.0,50.0,금속,4,70.0,0.0,28.401803935202935,E
016600,큐캐피탈,35817203,13314965313,9.14,1.0473113617231493,0.0,50.0,금융,9,20.0,50.0,27.814193408516942,E
054540,삼영엠텍,2953283,45110332150,5.11,1.0244969548237366,0.0,50.0,금속,4,70.0,0.0,27.807349086447122,E
009830,한화솔루션,7659000,415276343300,-9.4,9.02828790995855,0.0,50.0,화학,10,10.0,50.0,27.708486372987565,E
078020,LS증권,2782000,23602551930,-5.12,0.5616327879997125,0.0,50.0,금융,9,20.0,50.0,27.668489836399914,E
042370,비츠로테크,2000751,23802504670,6.36,0.549221679349289,0.0,50.0,금융,9,20.0,50.0,27.664766503804785,E
950250,테라뷰,1615014,14184760935,-2.04,0.3356399056002132,0.0,50.0,금융,9,20.0,50.0,27.600691971680064,E
017510,세명전기,1218799,13411400500,2.63,0.31066859785663437,0.0,50.0,금속,4,70.0,0.0,27.59320057935699,E
090710,휴림로봇,14963347,215753128540,2.07,4.92427173681001,0.0,50.0,기계·장비,5,60.0,0.0,26.477281521043004,E
096770,SK이노베이션,1148636,145602238500,7.59,3.1315435375858187,0.0,50.0,화학,10,10.0,50.0,25.939463061275745,E
083650,비에이치아이,1103917,95894536100,6.39,2.06929223802119,0.0,50.0,기계·장비,5,60.0,0.0,25.620787671406354,E
403870,HPSP,1530519,70217087725,-0.76,1.5301678371945286,0.0,50.0,기계·장비,5,60.0,0.0,25.45905035115836,E
003720,삼영,6667116,61020495915,9.95,1.4434839202757,0.0,50.0,화학,10,10.0,50.0,25.433045176082707,E
098460,고영,1759394,56822479575,-3.33,1.2490696161477715,0.0,50.0,기계·장비,5,60.0,0.0,25.37472088484433,E
319400,현대무벡스,1923405,53363031950,-1.79,1.1787095866449837,0.0,50.0,기계·장비,5,60.0,0.0,25.353612875993495,E
030530,원익홀딩스,1481132,51962214100,-4.52,1.1393582225196552,0.0,50.0,화학,10,10.0,50.0,25.341807466755895,E
130660,한전산업,16001639,418107439425,12.56,9.266855487646783,0.0,50.0,일반서비스,6,50.0,0.0,25.280056646294035,E
056080,유진로봇,1095164,40849527500,-1.72,0.8938533717327387,0.0,50.0,기계·장비,5,60.0,0.0,25.26815601151982,E
019990,에너토크,3448022,34160293590,6.41,0.8012685122187805,0.0,50.0,기계·장비,5,60.0,0.0,25.240380553665634,E
232140,와이씨,1424154,30421192400,-4.7,0.6782248223004358,0.0,50.0,기계·장비,5,60.0,0.0,25.20346744669013,E
253590,네오셈,1227846,20066956270,-3.28,0.45296283709771223,0.0,50.0,기계·장비,5,60.0,0.0,25.135888851129316,E
323350,다원넥스뷰,1001541,17943717875,28.08,0.4027983334516196,0.0,50.0,기계·장비,5,60.0,0.0,25.120839500035487,E
187660,현대ADM,33584354,314377907385,5.57,7.427556700189249,0.0,50.0,일반서비스,6,50.0,0.0,24.728267010056776,E
052690,한전기술,1478374,244074867450,7.72,5.241047753448945,0.0,50.0,일반서비스,6,50.0,0.0,24.072314326034686,E
004090,한국석유,10731495,201111702460,15.23,4.521313175128334,0.0,50.0,비금속,11,0.0,50.0,23.8563939525385,E
000720,현대건설,1508112,193469997950,3.22,4.161230979716461,0.0,50.0,건설,11,0.0,50.0,23.74836929391494,E
004410,서울식품,155339259,28582277598,-1.71,3.9251648932547143,0.0,50.0,음식료·담배,11,0.0,50.0,23.677549467976412,E
105840,우진,5889032,167241309775,3.41,3.694764836292123,0.0,50.0,의료·정밀기기,11,0.0,50.0,23.608429450887638,E
038500,삼표시멘트,9359890,137128098610,3.05,3.125930727788189,0.0,50.0,비금속,11,0.0,50.0,23.43777921833646,E
016360,삼성증권,1251243,143394782050,2.69,3.0866034321450324,0.0,50.0,증권,11,0.0,50.0,23.42598102964351,E
017670,SK텔레콤,1296944,105304120900,-0.86,2.2743151610615673,0.0,50.0,통신,11,0.0,50.0,23.18229454831847,E
001290,상상인증권,44537248,61829588510,9.53,2.2693142102601573,0.0,50.0,증권,11,0.0,50.0,23.18079426307805,E
064400,LG씨엔에스,1237193,89660415450,-0.14,1.9390346550625361,0.0,50.0,IT 서비스,11,0.0,50.0,23.08171039651876,E
065450,빅텍,14887623,66600930367,11.21,1.7381443122742768,0.0,50.0,의료·정밀기기,11,0.0,50.0,23.02144329368228,E
094820,일진파워,3288478,66608883570,0.46,1.4906637233221554,0.0,50.0,건설,11,0.0,50.0,22.947199116996646,E
011200,HMM,2619449,60263823875,1.98,1.3409076989545587,0.0,50.0,운송·창고,11,0.0,50.0,22.902272309686367,E
