ticker,name,volume,trading_value,close,change_pct,open,high,low
307180,아이엘,2713145,15891384130,5900,3.87,5700,6070,5510
052710,아모텍,1321542,15586684650,11680,10.92,11120,12390,11060
005440,현대지에프홀딩스,1032248,14923279060,14340,-1.1,14760,14760,14330
152550,한국ANKOR유전,64574780,14774694244,237,29.51,195,237,195
252990,샘씨엔에스,1266742,14420166180,11050,-7.06,11900,12200,10970
950250,테라뷰,1615014,14184760935,8630,-2.04,9030,9070,8510
099440,스맥,2128899,14148405165,6710,0.75,6700,6970,6400
290550,디케이티,1273764,14098452090,10970,1.57,10820,11630,10420
200470,에이팩트,1668642,13797692725,8400,4.48,8120,8460,8030
017510,세명전기,1218799,13411400500,10930,2.63,10650,11310,10500
261520,이지스,1038302,13317830850,12730,4.95,12350,13340,12350
016600,큐캐피탈,35817203,13314965313,370,9.14,340,403,327
263800,데이타솔루션,2404632,13265439990,5220,1.75,5050,5940,5050
000390,삼화페인트,1317329,12946691435,9730,-1.62,9720,10070,9660
068240,다원시스,4416299,12877089487,2935,15.78,2580,3090,2485
117580,대성에너지,1487571,12757257920,8630,3.48,8510,8770,8400
190650,코리아에셋투자증권,1103416,12743221580,10620,-6.27,13410,13410,10400
159010,아스플로,1862539,12577342365,6700,-1.03,7400,7410,6280
158430,아톤,1565485,12525169350,7870,0.0,8000,8290,7730
298830,슈어소프트테크,1516843,12419100165,8130,-1.09,8270,8360,7990
156100,엘앤케이바이오,1044736,12337473240,12000,-5.14,12600,12600,11300
043340,에쎈테크,16729826,12162767359,588,-10.23,710,849,579
204620,글로벌텍스프리,2276176,11966313405,5280,2.52,5160,5390,5060
005870,휴니드,1307934,11845671765,9080,4.61,8810,9350,8800
332570,PS일렉트로닉스,2141165,11702288390,5420,-4.91,5740,5800,5380
053700,삼보모터스,1427023,11549274470,8180,1.49,8110,8450,7780
003535,한화투자증권우,1005726,11507552205,11160,-9.27,12490,12500,10900
45226K,한화갤러리아우,1042088,11244725360,10430,2.66,10200,11380,10160
001740,SK네트웍스,1968234,11060088895,5610,4.08,5400,5770,5400
017550,수산세보틱스,5589407,10905869138,1924,6.06,1815,2080,1790
242040,나무기술,2898687,10851949364,3675,-2.52,3780,3875,3630
041960,코미팜,1231273,10655823045,8490,-7.42,9300,9400,8000
237750,피앤씨테크,1966130,10453586937,4870,-2.21,4980,5720,4835
015260,에이엔피,7265515,3269448311,471,29.75,367,471,364
066360,체리부로,2379396,2543574324,1069,29.89,1069,1069,1069
000545,흥국화재우,185016,1714647290,9510,29.92,7260,9510,7260
050090,비케이홀딩스,1737250,1190577642,703,29.94,541,703,541
341310,이앤에치,79289,196368,3,50.0,8,8,2
